		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)	(57)	(58)	(59)	(60)	(61)	(62)	(63)
VARIABLES	LABELS	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb
																																																																
2020.year	year = 2020	0.332***	-0.0812***	0.332***	0.332***	-0.0812***	0.332***	0.332***	-0.0812***	0.332***	0.332***	-0.0812***	0.332***	0.332***	-0.0812***	0.332***	0.332***	-0.0812***	0.332***	0.336***	-0.0836***	0.336***	0.336***	-0.0836***	0.336***	0.336***	-0.0836***	0.336***	0.336***	-0.0836***	0.336***	0.336***	-0.0836***	0.336***	0.336***	-0.0836***	0.336***	0.336***	-0.0836***	-0.122***	0.336***	-0.0836***	-0.122***	0.336***	-0.0836***	-0.122***	0.336***	-0.0836***	-0.122***	0.336***	-0.0836***	-0.122***	0.336***	-0.0836***	-0.122***	0.336***	-0.0836***	-0.122***	0.336***	-0.0836***	-0.122***	0.336***	-0.0836***	-0.122***
		(0.0180)	(0.00733)	(0.0180)	(0.0180)	(0.00733)	(0.0180)	(0.0180)	(0.00733)	(0.0180)	(0.0180)	(0.00733)	(0.0180)	(0.0180)	(0.00733)	(0.0180)	(0.0180)	(0.00733)	(0.0180)	(0.0176)	(0.00823)	(0.0176)	(0.0176)	(0.00823)	(0.0176)	(0.0176)	(0.00823)	(0.0176)	(0.0176)	(0.00823)	(0.0176)	(0.0176)	(0.00823)	(0.0176)	(0.0176)	(0.00823)	(0.0176)	(0.0176)	(0.00823)	(0.00939)	(0.0176)	(0.00823)	(0.00939)	(0.0176)	(0.00823)	(0.00939)	(0.0176)	(0.00823)	(0.00939)	(0.0176)	(0.00823)	(0.00939)	(0.0176)	(0.00823)	(0.00939)	(0.0176)	(0.00823)	(0.00939)	(0.0176)	(0.00823)	(0.00939)	(0.0176)	(0.00823)	(0.00939)
2021.year	year = 2021	0.369***	-0.0442***	0.369***	0.369***	-0.0442***	0.369***	0.369***	-0.0442***	0.369***	0.369***	-0.0442***	0.369***	0.369***	-0.0442***	0.369***	0.369***	-0.0442***	0.369***	0.374***	-0.0459***	0.374***	0.374***	-0.0459***	0.374***	0.374***	-0.0459***	0.374***	0.374***	-0.0459***	0.374***	0.374***	-0.0459***	0.374***	0.374***	-0.0459***	0.374***	0.374***	-0.0459***	-0.0842***	0.374***	-0.0459***	-0.0842***	0.374***	-0.0459***	-0.0842***	0.374***	-0.0459***	-0.0842***	0.374***	-0.0459***	-0.0842***	0.374***	-0.0459***	-0.0842***	0.374***	-0.0459***	-0.0842***	0.374***	-0.0459***	-0.0842***	0.374***	-0.0459***	-0.0842***
		(0.0186)	(0.00328)	(0.0186)	(0.0186)	(0.00328)	(0.0186)	(0.0186)	(0.00328)	(0.0186)	(0.0186)	(0.00328)	(0.0186)	(0.0186)	(0.00328)	(0.0186)	(0.0186)	(0.00328)	(0.0186)	(0.0188)	(0.00367)	(0.0188)	(0.0188)	(0.00367)	(0.0188)	(0.0188)	(0.00367)	(0.0188)	(0.0188)	(0.00367)	(0.0188)	(0.0188)	(0.00367)	(0.0188)	(0.0188)	(0.00367)	(0.0188)	(0.0188)	(0.00367)	(0.00538)	(0.0188)	(0.00367)	(0.00538)	(0.0188)	(0.00367)	(0.00538)	(0.0188)	(0.00367)	(0.00538)	(0.0188)	(0.00367)	(0.00538)	(0.0188)	(0.00367)	(0.00538)	(0.0188)	(0.00367)	(0.00538)	(0.0188)	(0.00367)	(0.00538)	(0.0188)	(0.00367)	(0.00538)
2022o.year	year = 2022, omitted		-			-			-			-			-			-			-			-			-			-			-			-			-			-			-			-			-			-			-			-			-	
																																																																
2023.year	year = 2023	0.449***	0.449***	-0.0493***	0.449***	0.449***	-0.0493***	0.449***	0.449***	-0.0493***	0.449***	0.449***	-0.0493***	0.449***	0.449***	-0.0493***	0.449***	0.449***	-0.0493***	0.458***	0.458***		0.458***	0.458***		0.458***	0.458***		0.458***	0.458***		0.458***	0.458***		0.458***	0.458***		0.458***	0.458***		0.458***	0.458***		0.458***	0.458***		0.458***	0.458***		0.458***	0.458***		0.458***	0.458***		0.458***	0.458***		0.458***	0.458***		0.458***	0.458***	
		(0.0216)	(0.0216)	(0.0110)	(0.0216)	(0.0216)	(0.0110)	(0.0216)	(0.0216)	(0.0110)	(0.0216)	(0.0216)	(0.0110)	(0.0216)	(0.0216)	(0.0110)	(0.0216)	(0.0216)	(0.0110)	(0.0220)	(0.0220)		(0.0220)	(0.0220)		(0.0220)	(0.0220)		(0.0220)	(0.0220)		(0.0220)	(0.0220)		(0.0220)	(0.0220)		(0.0220)	(0.0220)		(0.0220)	(0.0220)		(0.0220)	(0.0220)		(0.0220)	(0.0220)		(0.0220)	(0.0220)		(0.0220)	(0.0220)		(0.0220)	(0.0220)		(0.0220)	(0.0220)		(0.0220)	(0.0220)	
2024.year	year = 2024	0.498***	0.498***		0.498***	0.498***		0.498***	0.498***		0.498***	0.498***		0.498***	0.498***		0.498***	0.498***																																														
		(0.0265)	(0.0265)		(0.0265)	(0.0265)		(0.0265)	(0.0265)		(0.0265)	(0.0265)		(0.0265)	(0.0265)		(0.0265)	(0.0265)																																														
